PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.026422,0.118118,0.015333,0.051684,0.052905,0.034185,0.196234,0.087917
0.091573,0.118118,0.020555,0.049337,0.054594,0.045788,0.12293,0.145874
0.094279,0.118118,0.016818,0.054749,0.055386,0.037484,0.24782,0.103143
0.084899,0.118118,0.017509,0.04434,0.04758,0.039019,0.20552,0.087917
0.047066,0.118118,0.019813,0.04561,0.051943,0.044139,0.050967,0.087426
0.040076,0.118118,0.018917,0.032054,0.040695,0.042148,0.016095,0.083988
0.047855,0.118118,0.02186,0.043015,0.051643,0.048689,0.003869,0.10167
0.038886,0.118118,0.020965,0.031778,0.042213,0.046698,0.002631,0.099214
0.045834,0.118118,0.021093,0.036775,0.046148,0.046983,0.00521,0.104617
0.047845,0.118118,0.024599,0.041137,0.052456,0.054775,0.004127,0.116896
0.040023,0.118118,0.022142,0.051242,0.058273,0.049315,0.005365,0.099705
0.04776,0.118118,0.023883,0.056709,0.063939,0.053182,0.003766,0.11002
0.039655,0.118118,0.021809,0.044865,0.053033,0.048575,0.004436,0.090864
0.034033,0.118118,0.019224,0.039619,0.046811,0.04283,0.011143,0.089391
0.036528,0.118118,0.019377,0.037272,0.045143,0.043172,0.02115,0.085462
0.034233,0.118118,0.018738,0.038377,0.045442,0.04175,0.020789,0.082515
0.030781,0.118118,0.019275,0.03222,0.041122,0.042944,0.020635,0.081532
0.021496,0.118118,0.018251,0.029266,0.037979,0.040669,0.02894,0.085953
0.027401,0.118118,0.020401,0.030536,0.040759,0.045447,0.021099,0.086935
0.022517,0.118118,0.019019,0.030784,0.039818,0.042375,0.02569,0.084479
0.012495,0.118118,0.018738,0.027858,0.037294,0.04175,0.055971,0.086444
0.060751,0.118118,0.022168,0.026698,0.039262,0.049371,0.063296,0.089882
0.069846,0.118118,0.021912,0.035284,0.045677,0.048803,0.057158,0.092338
0.065867,0.118118,0.023371,0.027112,0.040588,0.052045,0.063451,0.107073
0.049961,0.118118,0.020606,0.026284,0.037615,0.045902,0.071705,0.089882
0.117648,0.118118,0.023575,0.03175,0.044351,0.0525,0.027134,0.10167
0.031539,0.118118,0.022654,0.037493,0.048414,0.050452,0.041682,0.113458
0.004863,0.118118,0.023012,0.030066,0.043539,0.051249,0.037658,0.103143
0.051245,0.118118,0.02442,0.032938,0.045977,0.054377,0.029456,0.106582
0.052276,0.118118,0.024087,0.027057,0.041122,0.053637,0.034924,0.112967
0.050592,0.118118,0.020504,0.026284,0.037572,0.045674,0.048078,0.099214
0.049887,0.118118,0.020709,0.026063,0.037551,0.046129,0.040856,0.091356
0.054424,0.118118,0.022756,0.034152,0.045506,0.05068,0.051793,0.091847
0.044887,0.118118,0.024881,0.030563,0.044522,0.055401,0.056023,0.104617
0.040434,0.118118,0.026954,0.021507,0.03924,0.060008,0.052979,0.111984
0.049108,0.118118,0.029335,0.000442,0.024891,0.065298,0.052824,0.102652
0.05814,0.118118,0.029514,0.000304,0.024934,0.065696,0.065463,0.103143
0.15684,0.118118,0.029361,0.000414,0.024913,0.065355,0.051896,0.115422
0.091089,0.118118,0.029309,0.000442,0.024891,0.065241,0.057158,0.140963
0.117617,0.118118,0.028874,0.000635,0.024656,0.064274,0.039825,0.107564
0.159335,0.118118,0.027594,0.000966,0.023865,0.06143,0.040186,0.155697
0.054013,0.118118,0.020427,0.007399,0.022817,0.045504,0.051535,0.103143
0.068772,0.118118,0.001587,0.022253,0.018326,0.00364,0.084086,0.045187
0.059203,0.118118,0.001485,0.022115,0.018198,0.003413,0.097601,0.043222
0.050666,0.118118,0.001613,0.02206,0.018284,0.003697,0.097911,0.039293
0.035286,0.118118,0.001792,0.021756,0.018305,0.004095,0.058138,0.026523
0.032907,0.118118,0.001357,0.022336,0.018155,0.003128,0.053031,0.023084
0.050613,0.118118,0.001664,0.021784,0.018027,0.003811,0.006551,0.075375
0.060077,0.118118,0.001357,0.022833,0.018006,0.003128,0.075161,0.037819
0.036507,0.118118,0.000205,0.026836,0.016851,0.000569,0.070209,0.031925
0.030717,0.118118,0.000102,0.026394,0.016616,0.000341,0.070003,0.017191
0.031317,0.118118,0.000307,0.023827,0.017043,0.000796,0.077895,0.019646
0.063066,0.118118,0.00041,0.024213,0.01745,0.001024,0.059376,0.03831
0.020169,0.118118,0.00384,0.026063,0.020828,0.008646,0.05788,0.027996
0.020506,0.118118,0.015026,0.03106,0.036674,0.033502,0.059582,0.070727
0.03697,0.118118,0.014667,0.030039,0.035584,0.032706,0.07578,0.071218
0.034728,0.118118,0.017893,0.029183,0.037594,0.039873,0.066753,0.076621
0.043065,0.118118,0.017662,0.028879,0.037188,0.039361,0.102089,0.079077
0.042371,0.118118,0.017202,0.029017,0.03691,0.038337,0.04261,0.078585
0.043286,0.118118,0.017637,0.02899,0.037252,0.039304,0.069487,0.078094
0.037981,0.118118,0.018405,0.031888,0.036503,0.04101,0.070209,0.086935
0.02997,0.118118,0.017074,0.056626,0.058187,0.038052,0.029301,0.077603
0.033212,0.118118,0.017842,0.05635,0.058615,0.039759,0.047563,0.07613
0.04476,0.118118,0.018302,0.056295,0.058957,0.040783,0.032345,0.078094
0.050613,0.118118,0.018226,0.056019,0.0587,0.040612,0.034872,0.078585
0.039002,0.118118,0.01843,0.05577,0.058636,0.041067,0.044622,0.079568
0.035118,0.118118,0.018891,0.055439,0.058807,0.042091,0.051277,0.081532
0.040634,0.118118,0.018763,0.05577,0.058914,0.041806,0.050193,0.079077
0.042581,0.118118,0.019096,0.055826,0.059256,0.042546,0.045963,0.080059
